particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599660924928,-211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-0.577691853,0.428671896,-1.27694643,0.139569998,-1
4503599677702144,2212,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-0.112078108,1.62538493,-6.58417892,0.938269973,1
4503599711256576,-211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,1.10030174,1.17188096,-8.70971012,0.139569998,-1
4503599728033792,321,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,0.392071635,0.890033841,-5.04891729,0.49368,1
4503599946137600,-321,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-2.54924369,-1.96174002,1.5387938,0.49368,-1
4503599962914816,211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-1.54502881,0.602838814,1.88136256,0.139569998,1
4503599979692032,-211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,0.101840362,0.470977485,-0.448321342,0.139569998,-1
4503599996469248,211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,0.565303564,0.182184488,0.218786389,0.139569998,1
4503600013246464,-211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,2.3645761,-0.541016996,-3.50509524,0.139569998,-1
4503600030023680,321,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,1.46708596,-0.726984799,-3.3153553,0.49368,1
4503600046800896,-321,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,1.04517472,-1.77178359,5.28615093,0.49368,-1
4503600080355328,-211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-0.435581446,-2.83271646,2.52552319,0.139569998,-1
4503600097132544,2212,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-0.199855477,-1.76789069,1.38823605,0.938269973,1
4503600113909760,-2212,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,0.787454426,-2.20368505,0.297695756,0.938269973,-1
4503600214573056,-321,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-0.441147655,1.05596983,0.702874303,0.49368,-1
4503600231350272,321,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-0.169944331,1.19845581,0.220059007,0.49368,1
4503600248127488,-321,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-1.66105831,1.38825285,0.49451074,0.49368,-1
4503600264904704,211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-0.583466768,0.445203781,-0.852473795,0.139569998,1
4503600298459136,-2212,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-0.514636934,0.378476739,-1.2366662,0.938269973,-1
4503600315236352,211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-1.43502152,1.81934702,-2.71446443,0.139569998,1
4503600382345216,-211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,0.477786869,0.492560774,1.60243857,0.139569998,-1
4503600466231296,-211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-0.465879083,-0.311922312,-0.0937655196,0.139569998,-1
4503600600449024,211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,0.795096755,1.05390167,5.42938137,0.139569998,1
4503600617226240,211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,0.400235742,-0.247463167,1.46710575,0.139569998,1
4503600634003456,211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-0.65256393,0.210158616,1.50251651,0.139569998,1
4503600650780672,211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-2.25572681,-1.11543214,13.2062645,0.139569998,1
4503601120542720,-211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,-0.966906548,0.442052245,-1.83246601,0.139569998,-1
4503601288314880,-211,0,0.0106792189,-0.0140262125,-11.0637608,-3.88068366,0.501445413,-1.52242768,-3.82159925,0.139569998,-1
