particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599660924928,-211,0,-1008.70551,201.006485,-1897.02209,3.37450099,-0.686940789,-0.17525284,-1.25800371,0.139569998,-1
4503599677702144,2212,0,46.737114,735.794617,-3001,6.49163532,0.322917044,1.58917344,-6.56217623,0.938269973,1
4503599711256576,-211,0,332.869568,439.102814,-3001,6.26248407,0.833331227,1.37245071,-8.68986797,0.139569998,-1
4503599728033792,321,0,318.628326,477.087891,-3001,6.32348013,0.672806442,0.700452089,-5.0304389,0.49368,1
4503599946137600,-321,0,-749.269104,-704.617798,483.855621,-0.0320033841,-2.11127687,-2.4058845,1.54075861,0.49368,-1
4503599962914816,211,0,-872.271179,545.00769,1163.58582,1.34875536,-1.20240223,1.11305022,1.86594701,0.139569998,1
4503599979692032,-211,0,-481.131317,909.067139,-1040.85217,1.30849326,-0.431770802,0.17343767,-0.428286612,0.139569998,-1
4503599996469248,211,0,997.026123,-252.644714,389.224854,0.0663142875,0.404260963,-0.415668309,0.214572549,0.139569998,1
4503600013246464,-211,0,1023.53125,-101.361694,-1497.52271,2.15723324,2.41831589,0.066053763,-3.48446584,0.139569998,-1
4503600030023680,321,0,819.8479,-621.079651,-2110.16992,3.99550033,1.08818722,-1.20900297,-3.29775381,0.49368,1
4503600046800896,-321,0,652.451111,-795.108765,2645.48462,5.66251278,1.51912367,-1.36445069,5.25549412,0.49368,-1
4503600080355328,-211,0,-44.7469902,-1027.56421,895.312744,0.700287342,0.183869109,-2.85351467,2.50387192,0.139569998,-1
4503600097132544,2212,0,-287.418182,-987.563293,798.094971,0.86507225,-0.777129233,-1.57689786,1.38231587,0.938269973,1
4503600113909760,-2212,0,470.296387,-914.719482,122.00798,-0.145348236,1.32924628,-1.90845597,0.30424124,0.938269973,-1
4503600214573056,-321,0,-637.181946,807.396851,624.315247,0.470602095,-0.892676473,0.63472569,0.664338171,0.49368,-1
4503600231350272,321,0,124.559738,1020.96783,181.176453,-0.0610208958,0.439453572,1.07367671,0.217645019,0.49368,1
4503600248127488,-321,0,-874.420044,541.553345,224.385681,-0.26291123,-1.96968937,0.86085999,0.494501621,0.49368,-1
4503600264904704,211,0,-486.858551,906.012817,-1250.12598,1.60239744,-0.0405410156,0.710683048,-0.837587118,0.139569998,1
4503600298459136,-2212,0,-1018.52246,143.186569,-2076.69849,5.55517006,-0.581024289,-0.227305606,-1.2008127,0.938269973,-1
4503600315236352,211,0,-523.821655,885.156128,-1217.33667,1.4178586,-0.898273289,2.12150168,-2.70026064,0.139569998,1
4503600382345216,-211,0,290.641235,986.619568,2509.64526,5.28244591,-0.12998648,0.654286206,1.57550895,0.139569998,-1
4503600466231296,-211,0,-381.416504,-955.202576,-187.909317,-0.0742203593,0.117222831,-0.536118448,-0.0897483677,0.139569998,-1
4503600600449024,211,0,529.165344,500.639984,3001,6.46192503,1.08389711,0.732235014,5.39442062,0.139569998,1
4503600617226240,211,0,343.505524,-861.327209,3001,6.74285507,-0.117609337,-0.458672881,1.4281621,0.139569998,1
4503600634003456,211,0,-735.078247,719.40979,2298.90649,4.63780403,-0.215594575,0.641485929,1.47119033,0.139569998,1
4503600650780672,211,0,-528.293518,-218.167068,3001,6.34660435,-2.36800861,-0.792964101,13.1804466,0.139569998,1
4503601120542720,-211,0,-1018.53522,143.095886,-1817.04895,3.09173298,-1.03677881,-0.1616963,-1.81669569,0.139569998,-1
4503601288314880,-211,0,506.333801,-895.274536,-2480.63428,5.05640745,1.03887057,-1.20739579,-3.79901552,0.139569998,-1
4503601305092096,211,0,-816.147644,-625.934021,-998.953857,1.40148294,-0.396175474,0.0888863727,-0.339251846,0.139569998,1
4503601321869312,321,0,1027.0061,-56.114418,-1821.34277,4.45856094,0.285657674,-0.325707048,-0.689497709,0.49368,1
4503601590304768,321,0,-373.045135,-958.502869,-479.65741,1.47302711,-0.434424698,-0.253602058,-0.210238919,0.49368,1
4503601607081984,211,0,549.681152,460.3992,-3001,6.38812399,0.787818789,0.383174032,-3.60965919,0.139569998,1
4503601640636416,-211,0,-1017.38525,-151.055267,502.716919,0.317119986,-0.348096162,-0.360783577,0.2337908,0.139569998,-1
4503601690968064,-211,0,97.0126953,-875.703796,3001,6.6214819,0.337437272,-0.653443575,2.4608624,0.139569998,-1
4503601909071872,321,0,-563.193665,860.641235,-128.371201,-0.299923062,-0.769334555,1.7426343,-0.21308358,0.49368,1
