particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599711256576,-321,0,-1018.64807,-142.290329,1111.64673,9.42615414,-0.587481916,-0.392921537,0.758469462,0.49368,-1
4503599761588224,-211,0,-654.732117,-391.321228,3001,14.1038837,-1.66964245,-1.26902437,8.33353519,0.139569998,-1
4503599778365440,-211,0,-851.657288,-576.689087,238.940475,7.24509048,-1.11842012,-1.1249913,0.414140999,0.139569998,-1
4503599795142656,321,0,-984.976074,-296.163177,1442.73682,10.0265636,-0.862171412,0.0638137758,1.21441257,0.49368,1
4503599895805952,211,0,-566.828918,-858.251404,1544.22705,9.97013092,-1.03621995,-1.00530064,2.17896318,0.139569998,1
4503599912583168,211,0,-788.18689,660.796387,-2390.99878,12.2736988,-0.558982193,0.871258676,-2.33413959,0.139569998,1
4503599929360384,-211,0,-653.605957,-794.159729,-1554.3916,9.83330536,-0.388423443,-0.957969487,-1.49857485,0.139569998,-1
4503599946137600,211,0,105.432121,751.337891,-3001,13.8797264,0.518801212,2.07337523,-8.34696484,0.139569998,1
4503599962914816,321,0,36.2703247,570.997009,-3001,13.7525759,0.296704739,1.97228253,-10.3447075,0.49368,1
4503599979692032,2212,0,-766.331482,-686.022156,-420.491211,7.35664988,-5.44393444,-4.46012306,-2.64248514,0.938269973,1
4503600013246464,-211,0,-552.427063,-867.59137,-2223.86572,11.9374952,0.067456305,-0.465170145,-0.925776243,0.139569998,-1
4503600113909760,2212,0,-763.103027,-689.611633,2782.45508,13.762372,-1.92718327,-1.31928933,6.38384819,0.938269973,1
4503600130686976,-2212,0,-533.563354,-879.318237,2792.05151,13.7769499,-1.0448947,-2.32113099,6.96835136,0.938269973,-1
4503600197795840,-211,0,-451.020813,-288.96521,3001,13.9442968,-1.35865104,-1.05830586,9.77659988,0.139569998,-1
4503600281681920,211,0,877.526184,536.505615,2086.94287,11.5375843,1.6345886,0.643426299,3.61045361,0.139569998,1
4503600298459136,-211,0,-236.111313,805.771973,3001,14.1863527,-0.478513509,0.742247403,3.18613005,0.139569998,-1
4503600415899648,-211,0,641.288818,20.273634,3001,14.0287514,0.586984813,0.204898521,2.91917324,0.139569998,-1
4503600432676864,211,0,-140.70224,1018.86865,-547.861145,7.79412317,0.241221339,0.485899657,-0.257211804,0.139569998,1
4503600449454080,-321,0,-742.949524,-8.70774174,3001,14.0934505,-3.05804944,-0.255311131,12.5315647,0.49368,-1
4503600466231296,211,0,-1027.74219,40.4519844,2670.82959,13.3310099,-1.37501752,0.360607684,3.70219088,0.139569998,1
4503600483008512,211,0,-670.500732,779.948242,822.842957,8.19467354,-0.401275784,0.936481416,0.839017332,0.139569998,1
4503600499785728,211,0,687.0672,765.394714,-247.795212,7.29711723,0.738424003,0.362520546,-0.163686097,0.139569998,1
4503600701112320,-321,0,-465.552765,917.142883,623.608643,8.74809647,-0.512054443,0.333806932,0.371857882,0.49368,-1
4503600717889536,211,0,-1005.72461,215.426163,479.449799,7.538764,-1.25183117,0.583402336,0.682852089,0.139569998,1
4503600734666752,-211,0,-1024.25159,-93.8034592,173.449921,7.24526548,-0.936758995,-0.388031095,0.203388259,0.139569998,-1
4503600751443968,2212,0,-1027.9054,-36.0680389,83.9390259,7.74473238,-1.48499477,0.254358888,0.167121649,0.938269973,1
4503600768221184,-2212,0,-1012.56915,180.538528,129.424805,7.6422205,-1.69059837,-0.00894757733,0.264531076,0.938269973,-1
4503600801775616,2212,0,-453.229858,923.294739,-747.340759,11.0888605,0.0746895149,0.532171786,-0.344310552,0.938269973,1
4503600818552832,211,0,-631.941406,-510.521149,-3001,13.9777107,-0.521008968,-0.107107431,-1.87129533,0.139569998,1
4503600835330048,-2212,0,-381.176636,-599.587646,-3001,13.991765,-0.492869288,-1.17175484,-5.28184462,0.938269973,-1
4503600852107264,-321,0,-1027.82239,-38.3621216,-2180.29224,11.9864063,-0.663445175,-0.332757145,-1.49684036,0.49368,-1
4503600868884480,321,0,-839.460266,594.303711,-1325.63586,9.30061817,-1.01877117,1.09706771,-1.86311412,0.49368,1
4503600935993344,211,0,354.767639,375.963623,3001,13.9376068,0.698860466,0.513198435,5.07346535,0.139569998,1
4503601254760448,-211,0,795.107666,652.452454,453.271973,7.91126108,0.0652790442,0.44495517,0.197962388,0.139569998,-1
4503601405755392,-211,0,-552.148682,867.768555,-554.772339,8.03796387,-0.410255194,0.0847032666,-0.196430117,0.139569998,-1
4503601489641472,-211,0,-662.75415,334.230194,-3001,13.8899059,-0.648596227,0.0795124546,-2.56366491,0.139569998,-1
4503601539973120,-321,0,95.1677475,-886.987671,3001,14.5690098,0.317184716,-0.488545299,1.89161158,0.49368,-1
4503601556750336,211,0,-655.267517,-171.334824,3001,14.0552292,-0.645731091,0.0394047052,2.87895012,0.139569998,1
4503601607081984,211,0,990.681946,-134.83345,3001,14.3757124,0.587356687,-0.375127316,2.06595707,0.139569998,1
4503601707745280,211,0,492.143097,165.604675,3001,13.936326,1.18321526,0.23332341,6.98442841,0.139569998,1
4503601909071872,211,0,-87.5620651,-1024.80408,2813.62134,13.8587713,-0.354052454,-0.479134381,1.56246758,0.139569998,1
4503601925849088,-2212,0,-103.802719,-585.242676,3001,14.042737,-0.10600619,-1.62737,8.29425812,0.938269973,-1
4503601959403520,211,0,-608.299622,-630.713013,3001,14.2647352,-0.513801634,-0.160881177,1.77392173,0.139569998,1
4503602026512384,211,0,-499.032074,899.36499,2903.18652,14.1096306,-0.0304500312,0.685753703,1.89774859,0.139569998,1
4503602060066816,-211,0,-981.820435,-306.462189,2959.54419,14.2685118,-0.614061177,-0.511781156,2.26094532,0.139569998,-1
